,İsim,Birim,Sorun Tipi,Sorun Açıklaması,Cevap
0,Eren,İnsan Kaynakları,Danışma Soruları,Yıllık izin haklarımı nasıl sorgulayabilirim?,Yıllık izin haklarınızı sorgulamak için şirketin insan kaynakları portalını kullanabilirsiniz. Portalda 'İzinlerim' bölümüne giderek kalan izin günlerinizi ve geçmiş izin kullanımlarınızı görebilirsiniz.
1,Sinem,Dijital Teknolojiler,Yazılım Problemleri,"Bilgisayarım açılmıyor, ne yapmalıyım?","Öncelikle güç kablosunu kontrol edin ve ardından IT destek ekibiyle iletişime geçin. 'DT-101' kodlu protokole göre, cihazın reset işlemi yapılabilir."
2,Ahmet,Üretim,Üretim Problemleri,"Makine sürekli arıza veriyor, neden olabilir?","Makinenin bakım periyodunu kontrol edin. Eğer son bakım tarihi geçmişse, 'ÜP-203' prosedürünü uygulayarak bakım ekibine haber verin."
3,Ece,Satış,Maddesel Problemler,Seyahat masraflarım neden reddedildi?,"Seyahat masraf iade süreci, gider raporlarının zamanında ve doğru şekilde doldurulmasına bağlıdır. İlgili formu eksiksiz doldurduğunuzdan emin olun ve şirket politikalarına uygun faturalar ekleyin."
4,Furkan,İnsan Kaynakları,Danışma Soruları,Performans değerlendirme sürecim ne zaman başlayacak?,"Performans değerlendirme süreci, her yılın Eylül ayında başlar. Size e-posta yoluyla detaylı bilgi gönderilecektir. İnsan kaynakları portalını takip ediniz."
5,Faruk,Dijital Teknolojiler,Yazılım Problemleri,Yeni yazılım güncellemesi sırasında hata alıyorum.,"Güncelleme öncesinde yedek almayı unutmayın. Eğer hata devam ederse, IT destek ekibi ile iletişime geçin ve hata kodunu paylaşın. 'DT-404' hata kodu çözümleri uygulayın."
6,Göktuğ,Üretim,Üretim Problemleri,Üretim hattında ürün kalitesi düşüşü yaşıyoruz.,Ürün kalitesi ile ilgili detaylı inceleme yapılmalıdır. Kalite kontrol ekibi ile görüşerek 'ÜP-305' kontrol protokolünü uygulayın ve gerekli ayarlamaları yapın.
7,Eren,Finans,Maddesel Problemler,"Harcamam onaylanmadı, nedenini öğrenebilir miyim?","Harcamalarınızın onay süreci, giderlerin uygunluk kriterlerine göre değerlendirilir. Harcama raporunuzu gözden geçirin ve gerekirse finans birimi ile iletişime geçerek 'FIN-567' numaralı incelemeyi başlatın."
8,Ahmet,Satış,Danışma Soruları,Satış hedeflerim nasıl belirleniyor?,"Satış hedefleri, önceki performansınız, pazar analizi ve şirketin genel stratejileri göz önünde bulundurularak belirlenir. Satış ekibi lideriniz ile görüşerek detaylı bilgi alabilirsiniz."
9,Ece,Dijital Teknolojiler,X Problemleri,"Veri tabanı bağlantı sorunları yaşıyorum, acil çözüm önerileriniz var mı?","Öncelikle ağ bağlantınızı kontrol edin. Sorun devam ederse, veritabanı sunucusunun durumunu kontrol edin ve 'DT-550' kodlu acil destek prosedürünü uygulayın. Teknik destek ekibiyle hemen iletişime geçiniz."
